name,sales,send_time,distance,start_price,delivery_price,mean_price,score,restaurant_type
麦乐香汉堡(西北大学店),1000,35.0,0.3,15.0,0.0,14.0,4.8,1
肯德基宅急送（万科润园店）,1000,30.0,1.7,0.0,9.0,45.0,4.8,1
华莱士·全鸡汉堡（樱花店),2000,40.0,3.4,20.0,3.5,22.0,4.5,1
熊猫比萨（樱花广场店）,600,43.0,3.3,15.0,3.0,26.0,4.6,1
德克士（长安三店）,1000,44.0,2.9,20.0,4.5,24.0,4.4,1
迈德思客·汉堡·烤全鸡(樱花广场店),800,40.0,3.3,20.0,4.5,24.0,4.8,1
手握V披萨（西北大店）,200,30.0,0.202,8.0,1.0,25.0,4.8,1
希多美炸鸡汉堡（西北大学店）,100,30.0,0.157,15.0,2.5,22.0,4.6,1
芝多多手工披萨(樱花广场店),1000,40.0,4.3,15.0,3.5,23.0,4.9,1
快乐奋青披萨,500,35.0,3.3,20.0,3.0,19.0,4.8,1
菲味福韩式炸鸡汉堡（翰林北路店）,900,30.0,2.7,15.0,3.0,19.0,4.6,1
慕玛披萨（西安书香路店）,200,53.0,4.7,20.0,5.0,23.0,4.5,1
麦乐苏克,100,30.0,1.1,15.0,2.5,21.0,4.8,1
迈德思客（悦秀城师大门店）,800,31.0,3.0,15.0,3.0,16.0,4.7,1
安安静静.三明治.手撕鸡.,1000,30.0,0.754,15.0,3.0,18.0,4.8,1
华莱士·全鸡汉堡（长里街店）,1000,40.0,5.8,20.0,7.5,23.0,4.5,1
蔬妃沙拉,1000,41.0,5.5,15.0,8.0,18.0,4.8,1
迈德思客•汉堡•烤全鸡(郭杜店),1000,30.0,3.0,20.0,4.5,21.0,4.5,1
梦萨客（GOGO街区店）,300,69.0,5.3,60.0,8.0,21.0,4.7,1
迈德思客•汉堡•烤全鸡（长安大学城店）,3000,40.0,4.7,15.0,5.5,14.0,4.6,1
湖南土菜馆（大仁店）,700,45.0,3.2,15.0,3.5,29.0,4.1,2
多年后餐厅,200,49.0,4.1,20.0,5.0,32.0,4.6,2
西贝莜面村（西安阳光城店）,2000,43.0,4.4,20.0,5.0,36.0,4.7,2
渝味源食府,100,40.0,5.0,20.0,5.5,45.0,4.1,2
川湘阁（郭杜店）,800,30.0,3.1,20.0,3.0,23.0,4.3,2
泥波南院门葫芦头,500,30.0,3.1,15.0,3.0,33.0,4.7,2
川福小厨,100,31.0,2.9,15.0,3.0,36.0,4.6,2
外婆印象（万科店）,1000,50.0,3.6,20.0,3.5,33.0,4.4,2
堂倌小厨(阳光天地店),200,37.0,4.4,20.0,4.0,30.0,3.9,2
锋味私房菜（紫薇店）,2000,48.0,5.8,20.0,7.0,19.0,4.5,2
顶顶香（万科店）,600,48.0,3.5,15.0,3.5,23.0,4.3,2
重庆鸡公煲(西北大店),1000,50.0,0.148,18.0,0.0,19.0,4.9,3
泰熙家（阳光天地店）,3000,45.0,4.5,20.0,4.5,25.0,4.5,3
叫了只炸鸡•韩式炸鸡（郭杜店）,1000,37.0,3.6,20.0,4.0,20.0,4.6,3
荠岛의国王拌饭(樱花广场店）,2000,38.0,4.4,20.0,4.5,18.0,4.8,3
知味阁黄焖鸡米饭,500,30.0,0.475,15.0,2.5,20.0,4.5,3
老兵烤肉饭,2000,35.0,3.6,15.0,4.0,16.0,4.8,3
小鑫家煲仔饭·烤肉饭（西北大学店）,1000,30.0,0.342,15.0,2.5,20.0,4.7,3
怪兽砂锅炒饭,400,40.0,4.0,15.0,5.5,17.0,4.5,3
泰熙家（樱花广场店）,1000,40.0,2.8,20.0,4.5,24.0,4.5,3
老孙家泡馍(智慧城店),700,40.0,4.8,15.0,2.5,27.0,4.5,3
CASE芝士焗饭（长安店）,1000,67.0,5.5,60.0,8.0,24.0,4.9,3
杨铭宇黄焖鸡米饭（万科城店）,900,40.0,4.0,15.0,4.0,24.0,4.8,3
爱尚寿司屋（西北大学店）,200,40.0,0.208,15.0,0.0,20.0,4.8,3
重庆鸡公煲（万科店）,700,40.0,4.1,20.0,4.5,22.0,4.7,3
