name,sales,send_time,distance,start_price,delivery_price,mean_price,score,type
麦乐香汉堡(西北大学店),1000,35,300,15,0,14,4.8,1
肯德基宅急送（万科润园店）,1000,30,1.7,0,9,45,4.8,1
华莱士·全鸡汉堡（樱花店),2000,40,3.4,20,3.5,22,4.5,1
熊猫比萨（樱花广场店）,600,43,3.3,15,3,26,4.6,1
德克士（长安三店）,1000,44,2.9,20,4.5,24,4.4,1
迈德思客·汉堡·烤全鸡(樱花广场店),800,40,3.3,20,4.5,24,4.8,1
手握V披萨（西北大店）,200,30,202,8,1,25,4.8,1
希多美炸鸡汉堡（西北大学店）,100,30,157,15,2.5,22,4.6,1
芝多多手工披萨(樱花广场店),1000,40,4.3,15,3.5,23,4.9,1
快乐奋青披萨,500,35,3.3,20,3,19,4.8,1
菲味福韩式炸鸡汉堡（翰林北路店）,900,30,2.7,15,3,19,4.6,1
慕玛披萨（西安书香路店）,200,53,4.7,20,5,23,4.5,1
麦乐苏克,100,30,1.1,15,2.5,21,4.8,1
迈德思客（悦秀城师大门店）,800,31,3,15,3,16,4.7,1
安安静静.三明治.手撕鸡.,1000,30,754,15,3,18,4.8,1
美堡士炸鸡汉堡(客多多),2000,50,7.6,20,11,12,4.7,1
光合披萨（锦业二路店）,1000,49,6.2,15,10,20,4.7,1
豪来客牛排·意面·披萨,100,70,12,78,12,0,4.4,1
华莱士·全鸡汉堡（长里街店）,1000,40,5.8,20,7.5,23,4.5,1
蔬妃沙拉,1000,41,5.5,15,8,18,4.8,1
迈德思客•汉堡•烤全鸡(郭杜店),1000,30,3,20,4.5,21,4.5,1
梦萨客（GOGO街区店）,300,69,5.3,60,8,21,4.7,1
伊佰愙清真汉堡披萨鸡排饭（师大路店）,500,70,13.4,86,18,28,4.9,1
迈德思客•汉堡•烤全鸡（长安大学城店）,3000,40,4.7,15,5.5,14,4.6,1
湖南土菜馆（大仁店）,700,45,3.2,15,3.5,29,4.1,2
多年后餐厅,200,49,4.1,20,5,32,4.6,2
西贝莜面村（西安阳光城店）,2000,43,4.4,20,5,36,4.7,2
渝味源食府,100,40,5,20,5.5,45,4.1,2
川湘阁（郭杜店）,800,30,3.1,20,3,23,4.3,2
泥波南院门葫芦头,500,30,3.1,15,3,33,4.7,2
川福小厨,100,31,2.9,15,3,36,4.6,2
外婆印象（万科店）,1000,50,3.6,20,3.5,33,4.4,2
堂倌小厨(阳光天地店),200,37,4.4,20,4,30,3.9,2
锋味私房菜（紫薇店）,2000,48,5.8,20,7,19,4.5,2
蜀湘一品（紫薇店）,2000,55,6.1,20,9,20,4.2,2
蟹煲哥·肉蟹煲·小龙虾,200,70,12.6,0,24,56,4.7,2
顶顶香（万科店）,600,48,3.5,15,3.5,23,4.3,2
重庆鸡公煲(西北大店),1000,50,148,18,0,19,4.9,3
泰熙家（阳光天地店）,3000,45,4.5,20,4.5,25,4.5,3
叫了只炸鸡•韩式炸鸡（郭杜店）,1000,37,3.6,20,4,20,4.6,3
荠岛의国王拌饭(樱花广场店）,2000,38,4.4,20,4.5,18,4.8,3
知味阁黄焖鸡米饭,500,30,475,15,2.5,20,4.5,3
老兵烤肉饭,2000,35,3.6,15,4,16,4.8,3
小鑫家煲仔饭·烤肉饭（西北大学店）,1000,30,342,15,2.5,20,4.7,3
怪兽砂锅炒饭,400,40,4,15,5.5,17,4.5,3
泰熙家（樱花广场店）,1000,40,2.8,20,4.5,24,4.5,3
老孙家泡馍(智慧城店),700,40,4.8,15,2.5,27,4.5,3
大喜屋寿司,1000,80,12.8,78,10,42,5,3
CASE芝士焗饭（长安店）,1000,67,5.5,60,8,24,4.9,3
杨铭宇黄焖鸡米饭（万科城店）,900,40,4,15,4,24,4.8,3
爱尚寿司屋（西北大学店）,200,40,208,15,0,20,4.8,3
重庆鸡公煲（万科店）,700,40,4.1,20,4.5,22,4.7,3
澄城水盆,300,42,4.9,20,5,33,4.8,3
鲜目录寿司•鳗鱼•肥牛饭（阳光店）,800,42,4.4,20,4.5,23,4.7,3
西府豆长生豆花泡馍（雅居乐花园店）,400,34,3.5,20,4,20,4.2,3
香锅鸡米饭,300,55,245,10,0,14,4.6,3
慕玛披萨（西安书香路店）,200,51,4.7,20,5,23,4.5,3
周先生的饭（长安店）,2000,43,6.6,15,9,17,4.6,3
响当当烤肉饭(紫微店）,2000,44,6.1,15,9,17,4.7,3
老北川,600,44,5.5,20,7,21,4.5,3
老安家牛羊肉泡馍(清真),100,46,4.4,20,5,27,0,3
徐氏叫花鸡（长安店）,700,44,6.6,15,9,26,4.8,3
鼎汤宫牛肉面,100,40,4.2,15,4.5,19,4.3,3
