name,sales,send_time,distance,start_price,delivery_price,mean_price,score,latitude,longitude
肯德基宅急送（万科润园店）,1000,30,1.7,0,9,45,4.8,34.158219,108.894562
湖南土菜馆（大仁店）,800,49,3.2,15,3.5,29,4.3,34.151030,108.853085
王菊面馆（郭杜旗舰店）,4000,30,2.0,15,3,13,4.8,34.152603,108.865072
东勋干锅肉煎饭,2000,30,0.33,15,2.5,18,4.9,34.140334,108.875885
小鑫家煲仔饭·烤肉饭（西北大学店）,1000,30,0.342,15,2.5,20,4.7,34.287636,108.922889
重庆鸡公煲(西北大店),1000,45,0.148,18,0,19,4.9,34.140923,108.874319
西贝莜面村（西安阳光城店）,2000,58,4.4,20,5,36,4.7,34.170513,108.868767
慕玛披萨（西安书香路店）,100,62,4.7,20,5,23,4.5,34.166209,108.897299
外婆印象（万科店）,1000,58,3.6,20,3.5,32,4.3,34.158220,108.894684
泰熙家（阳光天地店）,3000,58,4.5,20,4.5,25,4.5,34.169804,108.868435
小六汤包(韦郭路店),1000,58,3.5,20,3.5,27,4.5,34.158375,108.893124
德克士（长安三店）,1000,49,2.9,20,4.5,24,4.4,34.160295,108.880345
拴马桩擀面皮（师大店）,1000,38,3.3,15,4,19,4.7,34.160588,108.892588
麦乐香汉堡(西北大学店),1000,30,0.3,15,0,14,4.8,34.140661,108.873581
金饭,100,30,0.71,15,2.5,24,4.8,34.142211,108.880527
重庆菜馆,400,73,0.249,10,1,12,4.7,34.483238,109.082031
邢老三糊辣汤,800,32,3.1,20,6,24,4.5,34.247280,108.937843
潮汕砂锅粥,200,30,0.197,20,2.5,22,4.9,34.218944,108.904037
泰熙家（樱花广场店）,1000,50,2.8,20,4.5,24,4.5,34.159633,108.880331
益阳味道,100,56,3.3,35,4.5,33,4.5,34.158411,108.891349
锋味私房菜（紫薇店）,2000,50,5.8,20,7,19,4.5,34.177085,108.859788
安安静静.三明治.手撕鸡.,1000,30,0.754,15,3,18,4.7,34.144108,108.880576
飞鸿肉夹馍（樱花广场店）,1000,39,2.8,20,4.5,19,4.7,34.159168,108.880423
爱情麻辣拌,800,30,0.838,20,2.5,16,4.7,34.141004,108.868726
刘大饼土豆片夹馍店,2000,61,3.6,15,6,14,4.7,34.165089,108.880295
陕记老潼关肉夹馍旗舰店,3000,40,4.4,20,4.5,19,4.4,34.184454,108.938580
老米家泡馍（万科润园店）,100,30,1.4,20,5,32,0.0,34.147081,108.884426
迈德思客•汉堡•烤全鸡（长安大学城店）,3000,41,4.7,15,5.5,14,4.6,34.166216,108.897045
荠岛의国王拌饭(樱花广场店）,2000,41,4.4,20,4.5,18,4.7,34.274111,108.966052
爱尚寿司屋（西北大学店）,200,35,0.208,15,0,20,4.8,34.140568,108.874680
川福小厨,100,34,2.9,15,3,36,4.6,34.159468,108.868098
一粥七天健康粥馆（西大店）,1000,30,0.504,15,3,15,4.7,34.139016,108.874359
袁记肉夹馍（茅坡新城店）,1000,40,4.5,20,6.5,19,4.1,34.165608,108.895660
阿香米线(西安阳光天地餐厅),1000,49,4.5,20,4.5,28,4.4,34.170097,108.868114
老北川,600,45,5.5,20,7,21,4.6,31.83614,104.466714
雷式灌汤包（阳光天地店）,400,52,4.4,20,5,20,4.6,34.169281,108.868487
成都川菜,2,30,0.275,20,2.5,0,0.0,34.216345,108.997143
福鑫源（川湘菜店）,7,62,4.3,20,5,0,0.0,34.147251,108.358878
手握V披萨（西北大店）,200,25,0.202,8,1,25,4.9,34.216500,109.116530
鲜目录寿司•鳗鱼•肥牛饭（阳光店）,800,45,4.4,20,4.5,23,4.6,34.170039,108.868080
顶顶香（万科店）,500,57,3.5,15,3.5,23,4.2,34.158448,108.893548
杨国福麻辣烫,900,48,3.5,20,3.5,19,4.4,34.158488,108.893796
CASE芝士焗饭（长安店）,1000,62,5.5,60,8,24,4.9,34.203865,108.945098
毛记冒菜（紫薇田园店）,600,44,5.8,20,6,30,4.6,34.179537,108.878174
辣风芹酱香炒米粉（长安店）,1000,48,5.5,15,7,23,4.7,34.158043,108.913871
馋猫元气料理（万科店）,200,59,3.5,20,5,36,3.6,34.158187,108.893474
鱼酷活力烤鱼（西安高新阳光城店）,200,65,4.4,20,5,0,5.0,34.170799,108.868595
小四川平价川菜,6,30,1.0,15,2.5,0,3.7,34.138506,108.868973
新疆古法椒麻鸡・大盘鸡(居安路大学城店),400,30,1.5,15,2.5,31,4.4,34.146946,108.884528
食尚麻辣香锅(西大店),1000,30,0.527,15,2.5,16,4.7,34.204057,108.945918
泥波南院门葫芦头,500,38,3.1,15,3,33,4.7,34.159260,108.863196
老上海馄饨（西外店）,500,30,1.1,15,2.5,17,4.6,34.337697,108.939387
熊猫比萨（樱花广场店）,500,51,3.3,15,3,26,4.5,34.163515,108.879847
蜀湘一品（紫薇店）,2000,57,6.1,20,9,20,4.1,34.180926,108.868430
林香蒸肉（郭杜店）,200,35,2.9,20,3.5,20,4.4,34.159814,108.866980
