name,sales,send_time,distance,start_price,delivery_price,mean_price,score
肯德基宅急送（万科润园店）,1000,30,1.7,0,9,45,4.8
湖南土菜馆（大仁店）,800,49,3.2,15,3.5,29,4.3
王菊面馆（郭杜旗舰店）,4000,30,2.0,15,3,13,4.8
东勋干锅肉煎饭,2000,30,330,15,2.5,18,4.9
小鑫家煲仔饭·烤肉饭（西北大学店）,1000,30,342,15,2.5,20,4.7
重庆鸡公煲(西北大店),1000,45,148,18,0,19,4.9
西贝莜面村（西安阳光城店）,2000,58,4.4,20,5,36,4.7
慕玛披萨（西安书香路店）,100,62,4.7,20,5,23,4.5
外婆印象（万科店）,1000,58,3.6,20,3.5,32,4.3
泰熙家（阳光天地店）,3000,58,4.5,20,4.5,25,4.5
小六汤包(韦郭路店),1000,58,3.5,20,3.5,27,4.5
德克士（长安三店）,1000,49,2.9,20,4.5,24,4.4
拴马桩擀面皮（师大店）,1000,38,3.3,15,4,19,4.7
麦乐香汉堡(西北大学店),1000,30,300,15,0,14,4.8
金饭,100,30,710,15,2.5,24,4.8
重庆菜馆,400,73,249,10,1,12,4.7
邢老三糊辣汤,800,32,3.1,20,6,24,4.5
潮汕砂锅粥,200,30,197,20,2.5,22,4.9
泰熙家（樱花广场店）,1000,50,2.8,20,4.5,24,4.5
益阳味道,100,56,3.3,35,4.5,33,4.5
锋味私房菜（紫薇店）,2000,50,5.8,20,7,19,4.5
安安静静.三明治.手撕鸡.,1000,30,754,15,3,18,4.7
飞鸿肉夹馍（樱花广场店）,1000,39,2.8,20,4.5,19,4.7
爱情麻辣拌,800,30,838,20,2.5,16,4.7
刘大饼土豆片夹馍店,2000,61,3.6,15,6,14,4.7
陕记老潼关肉夹馍旗舰店,3000,40,4.4,20,4.5,19,4.4
老米家泡馍（万科润园店）,100,30,1.4,20,5,32,0.0
迈德思客•汉堡•烤全鸡（长安大学城店）,3000,41,4.7,15,5.5,14,4.6
荠岛의国王拌饭(樱花广场店）,2000,41,4.4,20,4.5,18,4.7
爱尚寿司屋（西北大学店）,200,35,208,15,0,20,4.8
川福小厨,100,34,2.9,15,3,36,4.6
一粥七天健康粥馆（西大店）,1000,30,504,15,3,15,4.7
袁记肉夹馍（茅坡新城店）,1000,40,4.5,20,6.5,19,4.1
阿香米线(西安阳光天地餐厅),1000,49,4.5,20,4.5,28,4.4
老北川,600,45,5.5,20,7,21,4.6
雷式灌汤包（阳光天地店）,400,52,4.4,20,5,20,4.6
成都川菜,2,30,275,20,2.5,0,0.0
福鑫源（川湘菜店）,7,62,4.3,20,5,0,0.0
手握V披萨（西北大店）,200,25,202,8,1,25,4.9
