name,scores,address,mean_price,comment
鑫海汇海鲜烤肉火锅自助（立丰国际店）,3.9,碑林区金花南路6号立丰国际购物广场6层,57,24614
蝎王府羊蝎子（西稍门店）,4.9,莲湖区西稍门向北50米路东（开元商城对面）,58,9622
锡林阿玛冰煮羊（半坡·华夏·幸福里店）,5.0,灞桥区华夏·世纪广场华夏幸福里4楼,88,59
乔福记香菇面,4.9,未央区凤城九路与文景路十字向西50米,17,13341
云贵过桥米线（车城花园店）,5.0,高陵区车城花园东门南50米西安银行隔壁,15,6690
西安君乐城堡酒店·雅庭西餐厅,4.6,碑林区环城南路西段12号西安君乐城堡酒店（近南门广场）,89,2676
荣辉园自助火锅,3.3,未央区北大学城景家十字香槟国际底商2楼,37,2835
同福龙虾（曲江店）,4.2,雁塔区曲江新区曲江池东路1号万众国际商业中心下沉广场B01区,169,18
比格比萨自助（新世界时尚广场店）,4.9,莲湖区北大街新世界时尚广场3层001,55,24845
口口私房锅（立丰国际店）,4.9,碑林区东二环立丰国际公寓南隔壁立信公寓709室,59,513
天天爸爸的蛋糕店,3.6,未央区陕西省未央区恒大帝景二期11号楼2单元1层商铺,41,4
李记搅团（三桥店）,4.9,未央区沣东新城双拥路金桥国际,48,2697
乡村基（丈八北路店）,4.0,雁塔区丈八北路540号华润万家1楼,25,5310
蜀儿郎市井串串（西沣路店）,4.6,高新区西沣四路竹园阳光嘉苑南门西50米商铺,45,23
尚学社的理想书店,5.0,雁塔区陕西省西安市雁塔区科技路195号世纪颐园B座10201号,26,585
欧味轩艺术蛋糕,4.9,长安区南长安街樊家十字112号（人人家超市对面）,40,4430
农耕年华清真农家菜,4.8,长安区238乡道王曲街道西王曲村,60,13
盛秦阁泡馍,4.9,未央区红旗东路2号,29,2350
食色火锅（李家村店）,4.4,碑林区雁塔路北段李家村购物中心1栋1单元2410室（李家村购物中心旁边雅居酒店进）,60,1026
大福咖啡（都市之门店）,4.0,雁塔区锦业路都市之门D座东侧一层,24,7
澄城崇斌水盆羊肉（后宰门店）,4.9,新城区后宰门与北新街交叉口向西20米路南（筑梦幼儿园对面）,25,3467
千家粗粮王（凤城二路店）,4.8,未央区未央路125号第五国际A座3楼（近地铁图书馆站C出口）,64,28837
朝阳门涮肉·烤肉·江湖菜,4.9,新城区永乐路西口291号,64,2550
蘑菇爱上饭（小寨店）,4.6,雁塔区长安南路237号路东（西安音乐学院对面）,17,17537
金迈源自助涮烤王,4.2,碑林区咸宁中路华润万家旁（乐宁会购物广场4楼）,50,19413
鱼酷活力烤鱼（阳光城店）,4.9,长安区创业大道9号阳光天地商场三层03-07单元,69,2175
火焰山牛排海鲜自助美食汇（西市城购物中心店）,4.2,莲湖区劳动南路1号西市城购物中心B1楼,72,7173
花腰部落（陕师大店）,4.3,雁塔区师大路27号邮局东侧（邮局旁）,39,3181
御窑火锅串串香,4.3,碑林区永宁路大话南门小区5号楼商铺1-01,54,2138
澄城水盆羊肉（大寨路店）,3.8,雁塔区大寨路旭景碧泽园南门斜对面,21,3279
西安新兴温德姆酒店餐厅,3.5,新城区金花北路189号新兴温德姆酒店4楼,150,408
米浓蛋糕店（李家村店）,4.0,碑林区体育场北路体育场家属楼3号（近省体育场东门）,23,79
建国饭店·蓉园川粤坊,4.9,碑林区互助路2号建国饭店1楼,57,7557
聚珍园（南二环店）,3.9,碑林区南二环东段88号武警医院对面,38,681
龙虾十八香羊蝎子纸包鱼（凤城二路店）,4.8,未央区凤城二路岗家寨小区北苑门口,88,64
老刘家牛羊肉泡馍（立新街店）,4.9,莲湖区立新街27号（近八一街小学）,22,6738
M12铁板餐厅（赛格国际店）,4.9,雁塔区长安中路123号赛格国际购物中心7层,81,9389
易居小笼,4.0,未央区大明宫街道北二环长安易居24号楼,25,3144
姥家大锅台（太华路店）,4.4,新城区太华路银河坊小区一直向东紧临铁道八府庄园商业街二路（含元路新城法院紧临铁道口向北1000米八府庄园二楼）,56,117
江湖渔道,5.0,莲湖区梨园路蔚蓝生活广场12-1-0126,94,42
Giacomo's手风琴西餐厅（兴庆南路店）,4.9,碑林区皇甫路兴庆南路159号常春藤花园商业街3-1-7（常春藤商业街区西区南门）,57,3330
薛垻子重庆老味火锅（永松路店）,4.0,雁塔区永松路永松路5号大院,57,4148
Dirty Hertz 得体赫兹,4.5,雁塔区芙蓉西路90号商铺（花间堂·忆昔酒店内）,121,3
天台牛排主题餐厅,4.9,碑林区长安北路89号中信大厦27层顶西户,97,3082
金花豪生国际大酒店西餐厅,4.2,碑林区环城南路西段18号金花豪生国际大酒店内（南门）,115,1479
悦豪邻居美食K歌创造快乐（长安店）,4.1,长安区西长安街万科生活广场三楼,59,62
螺小胖柳州螺蛳粉（钟楼店）,4.9,碑林区碑林区端履门十字西南角钟楼书店背后云龙大厦1楼红色门头,12,11223
老徐记葫芦头泡馍店,3.7,新城区东六路与解放路交叉口（天顺大酒店对面）,15,3152
兰湘子.湘菜小炒（中贸广场店）,4.9,碑林区南稍门南关正街中贸广场餐饮楼二楼,50,948
李记搅团（丰庆公园店）,4.9,莲湖区丰登南路2号伟基大厦2F（丰庆公园西门对面）,44,3629
佛伦萨·古典火炉披萨（小寨店）,4.9,雁塔区兴善寺西街飞旋广场西南角派出所隔壁,63,1258
意料之中·披萨研究所（万和城店）,4.8,新城区西安市新城区长缨西路1号万和城购物中心四楼中厅（港式洋葱餐厅旁）,33,16
西安高新希尔顿酒店•咖啡露台西餐厅,4.9,雁塔区沣惠南路22号1楼西安高新希尔顿咖啡露台西餐厅,126,1835
川府锦绣（西荷花园店）,4.1,碑林区劳卫路西荷美食商业街北区2楼（近红星美凯龙）,49,384
上岛咖啡（东二环店）,3.9,碑林区韩森路9号（东二环互助路立交东北角）,53,3479
济州家韩国自助烧烤,4.6,雁塔区丈八三路绿地中央广场2层213号,62,2157
兰湘子·湘菜小炒（民乐园店）,4.9,新城区解放路111号民乐园万达广场5楼502-B503号,51,343
塞纳左岸咖啡（未央路店）,4.2,未央区未央路98号（西安市档案馆正对面，大明宫西站B出口向南50米）,56,4596
金三顺紫菜包饭（太奥广场店）,3.8,莲湖区沣惠路北段7号太奥广场7号楼2层,25,4368
悦豪美食k歌聚会馆（和平门店）,4.9,碑林区和平路10号,71,48
同盛祥（钟楼店）,4.6,莲湖区西大街5号（近钟楼）,57,13768
建国饭店中餐厅,4.9,碑林区互助路2号建国饭店1楼,102,124
美佳蛋糕（未央路凤城二路店）,5.0,未央区凤城一路岗家寨商业中街西排十二号,80,338
卡米乐西饼屋,4.8,长安区常宁大街何家营新村教院东门口向南30米,30,348
欧美特蛋糕,4.9,雁塔区丈八六路余家庄3排1号,42,691
锡林阿玛冰煮羊（大雁塔历史博物馆店）,4.8,雁塔区雁南一路与翠华路交叉口西北角玺岸广场三楼海底捞旁,85,250
麦香手擀面,3.8,未央区西咸路501号,14,331
东方宫兰州牛肉拉面,4.9,未央区凤城六路与未央路十字向西200米路南（维也纳酒店对面）,15,5005
福苗小骆驼烧烤（莲湖路老店）,3.4,莲湖区莲湖路莲湖公园北门对面长安银行东侧,86,23
帕帕亚Papaya意大利餐厅（南门店）,4.5,碑林区南关正街89号帕帕亚意大利餐厅3楼（SKP向南50米）,102,881
小六汤包（兴庆南路店）,4.9,碑林区兴庆南路159号快时尚商业街E号（近华润万家）,41,711
美佳蛋糕（钟楼东大街店）,5.0,碑林区南柳巷25号,80,176
清真·聚鲜阁威海海鲜私房菜,5.0,新城区长乐西路白马服饰广场A座2402室,74,1039
红透天自助涮烤（互助路店）,4.1,碑林区互助路26号2层,38,27455
太食獸泰式茶餐厅（赛格国际店）,4.9,雁塔区长安北路赛格国际购物中心七楼,109,264
山葵铁板烧,4.1,新城区北大街55号西华门十字东南角新时代广场2-3楼,95,6710
