Column 1,Column 2
石卒从心·碎怂烤肉（西咸吾悦店）,4分 未央区昆明路与西宝疏导线交叉口西北角吾悦广场7楼人均￥63
鑫海汇海鲜烤肉火锅自助（立丰国际店）,3.9分24614条评论 碑林区金花南路6号立丰国际购物广场6层人均￥57
蝎王府羊蝎子（西稍门店）,4.9分9622条评论 莲湖区西稍门向北50米路东（开元商城对面）人均￥58
锡林阿玛冰煮羊（半坡·华夏·幸福里店）,5分59条评论 灞桥区华夏·世纪广场华夏幸福里4楼人均￥88
乔福记香菇面,4.9分13341条评论 未央区凤城九路与文景路十字向西50米人均￥17
云贵过桥米线（车城花园店）,5分6690条评论 高陵区车城花园东门南50米西安银行隔壁人均￥15
太二酸菜鱼（大融城店）,3.1分 未央区经开区凤城七路与凤城八路之间张家堡环岛东南角大融城L5层26室人均￥85
西安君乐城堡酒店·雅庭西餐厅,4.6分2676条评论 碑林区环城南路西段12号西安君乐城堡酒店（近南门广场）人均￥89
荣辉园自助火锅,3.3分2835条评论 未央区北大学城景家十字香槟国际底商2楼人均￥37
同福龙虾（曲江店）,4.2分18条评论 雁塔区曲江新区曲江池东路1号万众国际商业中心下沉广场B01区人均￥169
比格比萨自助（新世界时尚广场店）,4.9分24845条评论 莲湖区北大街新世界时尚广场3层001人均￥55
口口私房锅（立丰国际店）,4.9分513条评论 碑林区东二环立丰国际公寓南隔壁立信公寓709室人均￥59
天天爸爸的蛋糕店,3.6分4条评论 未央区陕西省未央区恒大帝景二期11号楼2单元1层商铺人均￥41
李记搅团（三桥店）,4.9分2697条评论 未央区沣东新城双拥路金桥国际人均￥48
乡村基（丈八北路店）,4分5310条评论 雁塔区丈八北路540号华润万家1楼人均￥25
蜀儿郎市井串串（西沣路店）,4.6分23条评论 高新区西沣四路竹园阳光嘉苑南门西50米商铺人均￥45
尚学社的理想书店,5分585条评论 雁塔区陕西省西安市雁塔区科技路195号世纪颐园B座10201号人均￥26
欧味轩艺术蛋糕,4.9分4430条评论 长安区南长安街樊家十字112号（人人家超市对面）人均￥40
农耕年华清真农家菜,4.8分13条评论 长安区238乡道王曲街道西王曲村人均￥60
盛秦阁泡馍,4.9分2350条评论 未央区红旗东路2号人均￥29
食色火锅（李家村店）,4.4分1026条评论 碑林区雁塔路北段李家村购物中心1栋1单元2410室（李家村购物中心旁边雅居酒店进）人均￥60
大福咖啡（都市之门店）,4分7条评论 雁塔区锦业路都市之门D座东侧一层人均￥24
