names,scores,longitude,latitude,mean_price,comment,cluster
鑫海汇海鲜烤肉火锅自助（立丰国际店）,3.9,108.997999,34.247211,57,24614,2
蝎王府羊蝎子（西稍门店）,4.9,108.911486,34.259348,58,9622,4
锡林阿玛冰煮羊（半坡·华夏·幸福里店）,5.0,109.056462,34.274044,88,59,4
乔福记香菇面,4.9,108.938163,34.347360,17,13341,3
云贵过桥米线（车城花园店）,5.0,109.004563,34.464745,15,6690,4
西安君乐城堡酒店·雅庭西餐厅,4.6,108.945236,34.248688,89,2676,5
荣辉园自助火锅,3.3,108.979441,34.380777,37,2835,1
同福龙虾（曲江店）,4.2,108.989060,34.195045,169,18,5
比格比萨自助（新世界时尚广场店）,4.9,108.950684,34.269339,55,24845,3
口口私房锅（立丰国际店）,4.9,108.997270,34.248350,59,513,4
天天爸爸的蛋糕店,3.6,108.985797,34.327977,41,4,1
李记搅团（三桥店）,4.9,108.831370,34.289168,48,2697,4
乡村基（丈八北路店）,4.0,108.871364,34.248698,25,5310,1
蜀儿郎市井串串（西沣路店）,4.6,120.079994,31.620785,45,23,5
尚学社的理想书店,5.0,108.894821,34.236518,26,585,4
欧味轩艺术蛋糕,4.9,108.945430,34.151562,40,4430,4
农耕年华清真农家菜,4.8,108.956146,34.071666,60,13,4
盛秦阁泡馍,4.9,108.975663,34.353759,29,2350,4
食色火锅（李家村店）,4.4,108.963051,34.242301,60,1026,5
大福咖啡（都市之门店）,4.0,108.889108,34.197010,24,7,1
澄城崇斌水盆羊肉（后宰门店）,4.9,108.954010,34.271713,25,3467,4
千家粗粮王（凤城二路店）,4.8,108.947725,34.316950,64,28837,3
朝阳门涮肉·烤肉·江湖菜,4.9,108.967170,34.263310,64,2550,4
蘑菇爱上饭（小寨店）,4.6,108.947105,34.227643,17,17537,3
金迈源自助涮烤王,4.2,114.320840,29.861183,50,19413,2
鱼酷活力烤鱼（阳光城店）,4.9,108.868114,34.170097,69,2175,4
火焰山牛排海鲜自助美食汇（西市城购物中心店）,4.2,108.909777,34.245300,72,7173,5
花腰部落（陕师大店）,4.3,108.949697,34.205124,39,3181,5
御窑火锅串串香,4.3,108.948772,34.239786,54,2138,5
澄城水盆羊肉（大寨路店）,3.8,108.874836,34.246033,21,3279,1
西安新兴温德姆酒店餐厅,3.5,108.996464,34.270076,150,408,1
米浓蛋糕店（李家村店）,4.0,108.941565,34.232681,23,79,1
建国饭店·蓉园川粤坊,4.9,108.996401,34.258509,57,7557,4
聚珍园（南二环店）,3.9,108.985028,34.237370,38,681,1
龙虾十八香羊蝎子纸包鱼（凤城二路店）,4.8,108.949913,34.318074,88,64,4
老刘家牛羊肉泡馍（立新街店）,4.9,108.942887,34.273062,22,6738,4
M12铁板餐厅（赛格国际店）,4.9,108.947616,34.223172,81,9389,4
易居小笼,4.0,108.986043,34.306297,25,3144,1
姥家大锅台（太华路店）,4.4,108.979378,34.292652,56,117,5
江湖渔道,5.0,108.911925,34.291059,94,42,4
Giacomo's手风琴西餐厅（兴庆南路店）,4.9,108.988576,34.248269,57,3330,4
薛垻子重庆老味火锅（永松路店）,4.0,108.925149,34.226800,57,4148,1
Dirty Hertz 得体赫兹,4.5,108.969583,34.210680,121,3,5
天台牛排主题餐厅,4.9,108.947276,34.237894,97,3082,4
金花豪生国际大酒店西餐厅,4.2,108.943342,34.250061,115,1479,5
悦豪邻居美食K歌创造快乐（长安店）,4.1,108.894063,34.158400,59,62,1
螺小胖柳州螺蛳粉（钟楼店）,4.9,108.953777,34.257819,12,11223,3
老徐记葫芦头泡馍店,3.7,108.963882,34.271959,15,3152,1
兰湘子.湘菜小炒（中贸广场店）,4.9,108.945151,34.241617,50,948,4
李记搅团（丰庆公园店）,4.9,108.894094,34.247483,44,3629,4
佛伦萨·古典火炉披萨（小寨店）,4.9,108.945631,34.225124,63,1258,4
意料之中·披萨研究所（万和城店）,4.8,108.994640,34.278776,33,16,4
西安高新希尔顿酒店•咖啡露台西餐厅,4.9,108.887603,34.220835,126,1835,4
川府锦绣（西荷花园店）,4.1,108.927417,34.235367,49,384,1
上岛咖啡（东二环店）,3.9,108.998131,34.259617,53,3479,1
济州家韩国自助烧烤,4.6,108.877279,34.194528,62,2157,5
兰湘子·湘菜小炒（民乐园店）,4.9,108.964952,34.268620,51,343,4
塞纳左岸咖啡（未央路店）,4.2,108.946490,34.303560,56,4596,5
金三顺紫菜包饭（太奥广场店）,3.8,108.892322,34.283244,25,4368,1
悦豪美食k歌聚会馆（和平门店）,4.9,108.962977,34.253807,71,48,4
同盛祥（钟楼店）,4.6,108.945032,34.260409,57,13768,3
建国饭店中餐厅,4.9,108.996401,34.258509,102,124,4
美佳蛋糕（未央路凤城二路店）,5.0,108.955819,34.314206,80,338,4
